ID	Sport	Sex	Age_(y)	Bodymass_(kg)	10m_(s)	20m_(s)	30m_(s)	40m_(s)	F0_(N/kg)	V0_(m/s)	P0_(W/kg)	FV_Slope_(N/s/m/kg)	RF_max_(%)	DRF_(%)
488	Soccer	W	20	58	2.11	3.47	4.75	5.99	8.26	8.10	16.72	-1.02	44.66%	-9.56%
489	Soccer	W	22	58	2.14	3.47	4.70	5.96	7.61	8.52	16.20	-0.89	44.04%	-8.36%
490	Soccer	W	35	58	2.24	3.70	5.06	6.45	7.36	7.57	13.91	-0.97	41.46%	-9.22%
491	Soccer	W	24	59	2.20	3.62	4.94	6.27	7.50	7.83	14.68	-0.96	42.38%	-9.05%
492	Soccer	W	20	59	2.10	3.40	4.61	5.80	7.80	8.75	17.07	-0.89	44.97%	-8.31%
493	Soccer	W	19	60	2.12	3.45	4.68	5.90	7.75	8.51	16.50	-0.91	44.39%	-8.52%
494	Soccer	W	22	60	2.19	3.54	4.82	6.04	7.30	8.28	15.11	-0.88	42.80%	-8.30%
495	Soccer	W	23	60	2.13	3.47	4.69	5.94	7.55	8.57	16.17	-0.88	43.98%	-8.25%
496	Soccer	W	26	60	2.19	3.55	4.79	6.07	7.11	8.46	15.04	-0.84	42.62%	-7.91%
497	Soccer	W	26	61	2.13	3.37	4.66	5.83	8.06	8.50	17.12	-0.95	45.09%	-8.85%
498	Soccer	W	21	61	2.26	3.68	4.99	6.30	6.82	7.98	13.60	-0.85	40.92%	-8.09%
499	Soccer	W	24	61	2.17	3.54	4.79	6.07	7.33	8.34	15.28	-0.88	42.98%	-8.27%
500	Soccer	W	27	61	2.15	3.48	4.72	5.95	7.44	8.52	15.85	-0.87	43.62%	-8.19%
501	Soccer	W	23	62	2.14	3.48	4.74	6.03	7.74	8.33	16.10	-0.93	43.99%	-8.72%
502	Soccer	W	21	62	2.20	3.60	4.92	6.23	7.45	7.91	14.72	-0.94	42.42%	-8.90%
503	Soccer	W	21	62	2.24	3.68	5.03	6.37	7.23	7.69	13.90	-0.94	41.43%	-8.92%
504	Soccer	W	21	62	2.09	3.40	4.62	5.82	8.03	8.59	17.24	-0.94	45.21%	-8.73%
505	Soccer	W	22	62	2.08	3.34	4.51	5.66	7.77	9.13	17.73	-0.85	45.56%	-7.91%
506	Soccer	W	23	62	2.13	3.48	4.83	6.16	8.54	7.81	16.66	-1.09	44.51%	-10.29%
507	Soccer	W	25	62	2.14	3.42	4.62	5.82	7.31	8.97	16.40	-0.81	44.06%	-7.61%
508	Soccer	W	27	62	2.17	3.54	4.81	6.12	7.48	8.21	15.35	-0.91	43.12%	-8.57%
509	Soccer	W	27	62	2.26	3.71	5.09	6.49	7.29	7.52	13.69	-0.97	41.19%	-9.21%
510	Soccer	W	29	62	2.15	3.56	4.82	6.03	7.65	8.08	15.47	-0.95	43.29%	-8.92%
511	Soccer	W	31	62	2.18	3.59	4.93	6.27	7.86	7.73	15.19	-1.02	42.98%	-9.61%
512	Soccer	W	26	62	2.10	3.43	4.64	5.83	7.88	8.58	16.90	-0.92	44.83%	-8.59%
513	Soccer	W	19	63	2.19	3.57	4.86	6.18	7.36	8.12	14.95	-0.91	42.65%	-8.55%
514	Soccer	W	22	63	2.10	3.43	4.65	5.85	7.81	8.59	16.77	-0.91	44.68%	-8.51%
515	Soccer	W	24	63	2.19	3.59	4.97	6.29	8.02	7.59	15.23	-1.06	42.98%	-10.00%
516	Soccer	W	26	63	2.07	3.47	4.74	6.00	8.75	7.94	17.37	-1.10	45.24%	-10.34%
517	Soccer	W	24	63	2.19	3.54	4.90	6.21	7.86	7.84	15.40	-1.00	43.23%	-9.47%
518	Soccer	W	25	63	2.21	3.67	5.04	6.42	7.75	7.48	14.49	-1.04	42.14%	-9.83%
519	Soccer	W	30	63	2.13	3.45	4.68	5.92	7.61	8.59	16.34	-0.89	44.18%	-8.29%
520	Soccer	W	32	63	2.12	3.40	4.62	5.80	7.67	8.77	16.82	-0.87	44.68%	-8.17%
521	Soccer	W	20	63	2.16	3.52	4.77	6.03	7.41	8.36	15.49	-0.89	43.24%	-8.33%
522	Soccer	W	28	64	2.09	3.40	4.61	5.83	7.93	8.66	17.16	-0.92	45.11%	-8.55%
523	Soccer	W	21	64	2.12	3.49	4.78	6.06	8.21	8.02	16.46	-1.02	44.38%	-9.63%
524	Soccer	W	20	64	2.16	3.56	4.86	6.16	7.90	7.89	15.57	-1.00	43.42%	-9.44%
525	Soccer	W	24	64	2.20	3.59	4.86	6.16	7.18	8.17	14.68	-0.88	42.29%	-8.30%
526	Soccer	W	19	64	2.23	3.65	5.02	6.39	7.50	7.62	14.29	-0.98	41.93%	-9.32%
527	Soccer	W	29	65	2.19	3.60	4.92	6.25	7.61	7.84	14.91	-0.97	42.66%	-9.18%
528	Soccer	W	22	65	2.19	3.55	4.84	6.10	7.39	8.17	15.09	-0.90	42.81%	-8.53%
529	Soccer	W	22	65	2.15	3.50	4.76	6.05	7.63	8.30	15.83	-0.92	43.67%	-8.63%
530	Soccer	W	21	65	2.15	3.48	4.73	5.99	7.57	8.42	15.93	-0.90	43.76%	-8.44%
531	Soccer	W	23	65	2.14	3.43	4.62	5.84	7.22	9.01	16.27	-0.80	43.87%	-7.49%
532	Soccer	W	25	65	2.19	3.60	4.89	6.19	7.41	7.99	14.80	-0.93	42.50%	-8.76%
533	Soccer	W	28	65	2.20	3.57	4.84	6.13	7.16	8.27	14.79	-0.87	42.39%	-8.17%
534	Soccer	W	28	65	2.19	3.59	4.93	6.24	7.76	7.76	15.07	-1.00	42.84%	-9.45%
535	Soccer	W	31	65	2.18	3.58	4.89	6.19	7.65	7.90	15.11	-0.97	42.90%	-9.14%
536	Soccer	W	19	66	2.04	3.37	4.63	5.91	9.04	8.18	18.50	-1.10	46.37%	-10.32%
537	Soccer	W	20	66	2.33	3.83	5.24	6.67	6.79	7.32	12.42	-0.93	39.53%	-8.85%
538	Soccer	W	23	66	2.15	3.49	4.78	6.04	7.85	8.17	16.03	-0.96	43.94%	-9.04%
539	Soccer	W	29	66	2.09	3.47	4.70	5.98	8.16	8.23	16.78	-0.99	44.75%	-9.29%
540	Soccer	W	20	67	2.29	3.71	5.09	6.46	6.95	7.65	13.30	-0.91	40.65%	-8.63%
541	Soccer	W	22	67	2.18	3.59	4.92	6.21	7.79	7.77	15.14	-1.00	42.92%	-9.48%
542	Soccer	W	20	67	2.22	3.58	4.85	6.15	6.97	8.33	14.52	-0.84	42.00%	-7.91%
543	Soccer	W	21	67	2.27	3.73	5.09	6.41	7.04	7.60	13.38	-0.93	40.78%	-8.81%
544	Soccer	W	23	67	2.22	3.64	4.98	6.33	7.46	7.74	14.43	-0.96	42.09%	-9.13%
545	Soccer	W	24	67	2.21	3.62	4.98	6.32	7.66	7.67	14.67	-1.00	42.39%	-9.45%
546	Soccer	W	24	67	2.20	3.54	4.78	6.05	6.96	8.57	14.92	-0.81	42.39%	-7.65%
547	Soccer	W	26	67	2.15	3.47	4.70	5.91	7.45	8.58	15.98	-0.87	43.75%	-8.14%
548	Soccer	W	31	67	2.25	3.69	5.03	6.38	7.09	7.73	13.70	-0.92	41.16%	-8.70%
549	Soccer	W	23	67	2.14	3.46	4.69	5.91	7.56	8.55	16.17	-0.88	44.00%	-8.29%
550	Soccer	W	20	67	2.25	3.71	5.09	6.46	7.31	7.51	13.72	-0.97	41.23%	-9.25%
551	Soccer	W	24	68	2.14	3.49	4.73	5.97	7.70	8.34	16.05	-0.92	43.92%	-8.67%
552	Soccer	W	21	68	2.20	3.60	4.96	6.32	7.77	7.69	14.94	-1.01	42.69%	-9.57%
553	Soccer	W	24	68	2.21	3.63	4.98	6.33	7.59	7.68	14.58	-0.99	42.28%	-9.36%
554	Soccer	W	27	68	2.14	3.51	4.78	6.00	7.81	8.16	15.93	-0.96	43.82%	-9.00%
555	Soccer	W	29	68	2.09	3.45	4.69	5.96	8.23	8.26	17.00	-1.00	44.97%	-9.34%
556	Soccer	W	33	68	2.16	3.49	4.76	6.02	7.51	8.36	15.71	-0.90	43.51%	-8.44%
557	Soccer	W	27	68	2.20	3.60	4.91	6.24	7.40	7.93	14.68	-0.93	42.37%	-8.82%
558	Soccer	W	19	69	2.12	3.54	4.84	6.13	8.38	7.78	16.31	-1.08	44.16%	-10.15%
559	Soccer	W	19	69	2.17	3.46	4.65	5.82	6.95	9.07	15.75	-0.77	43.13%	-7.18%
560	Soccer	W	18	69	2.22	3.67	5.00	6.39	7.39	7.69	14.20	-0.96	41.82%	-9.11%
561	Soccer	W	26	70	2.17	3.56	4.86	6.16	7.69	7.97	15.31	-0.96	43.13%	-9.10%
562	Soccer	W	18	70	2.06	3.37	4.60	5.83	8.53	8.43	17.98	-1.01	45.98%	-9.45%
563	Soccer	W	19	70	2.25	3.66	4.98	6.29	6.96	7.94	13.80	-0.88	41.23%	-8.31%
564	Soccer	W	21	70	2.18	3.60	4.95	6.31	7.90	7.66	15.13	-1.03	42.90%	-9.77%
565	Soccer	W	20	71	2.05	3.35	4.59	5.81	8.71	8.41	18.31	-1.04	46.30%	-9.67%
566	Soccer	W	22	71	2.31	3.79	5.19	6.59	6.92	7.39	12.79	-0.94	40.03%	-8.93%
567	Soccer	W	22	72	2.20	3.63	4.97	6.33	7.67	7.66	14.69	-1.00	42.41%	-9.48%
568	Soccer	W	18	72	2.15	3.49	4.74	6.04	7.51	8.41	15.80	-0.89	43.61%	-8.40%
569	Soccer	W	31	72	2.32	3.84	5.28	6.72	7.03	7.14	12.55	-0.98	39.73%	-9.41%
570	Soccer	W	25	84	2.20	3.64	4.94	6.25	7.36	7.84	14.43	-0.94	42.09%	-8.91%
571	Speed_skating	M	21	63	2.11	3.35	4.52	5.63	7.42	9.33	17.31	-0.80	44.94%	-7.39%
572	Speed_skating	M	24	64	2.20	3.62	4.96	6.35	7.63	7.73	14.76	-0.99	42.48%	-9.33%
573	Speed_skating	M	19	68	2.08	3.33	4.45	5.61	7.50	9.52	17.86	-0.79	45.47%	-7.30%
574	Speed_skating	M	20	69	2.02	3.33	4.54	5.74	8.88	8.51	18.89	-1.04	46.85%	-9.71%
575	Speed_skating	M	18	73	2.15	3.48	4.71	5.90	7.42	8.56	15.87	-0.87	43.63%	-8.13%
576	Speed_skating	M	23	73	2.04	3.31	4.49	5.68	8.34	8.90	18.55	-0.94	46.54%	-8.71%
577	Speed_skating	M	18	75	2.10	3.45	4.70	6.00	8.16	8.26	16.84	-0.99	44.81%	-9.26%
578	Speed_skating	M	17	77	2.03	3.25	4.37	5.44	7.99	9.56	19.10	-0.84	46.87%	-7.72%
579	Speed_skating	M	27	77	2.10	3.41	4.66	5.86	8.11	8.42	17.09	-0.96	45.07%	-9.02%
580	Speed_skating	M	17	79	2.12	3.43	4.67	5.87	7.82	8.50	16.63	-0.92	44.55%	-8.63%
581	Speed_skating	M	23	79	2.13	3.37	4.54	5.70	7.22	9.34	16.86	-0.77	44.38%	-7.21%
582	Speed_skating	M	26	79	2.14	3.43	4.61	5.76	7.25	8.99	16.29	-0.81	43.91%	-7.54%
583	Speed_skating	M	23	80	2.12	3.38	4.58	5.73	7.53	8.98	16.91	-0.84	44.68%	-7.84%
584	Speed_skating	M	25	81	2.18	3.56	4.84	6.10	7.44	8.11	15.10	-0.92	42.85%	-8.66%
585	Speed_skating	M	28	82	1.94	3.15	4.29	5.41	9.40	9.19	21.60	-1.02	49.35%	-9.40%
586	Speed_skating	M	26	84	2.07	3.32	4.49	5.61	7.89	9.11	17.98	-0.87	45.86%	-8.06%
587	Speed_skating	M	18	85	2.17	3.52	4.76	6.00	7.30	8.43	15.37	-0.87	43.07%	-8.16%
588	Speed_skating	M	23	85	2.06	3.29	4.43	5.55	7.79	9.41	18.33	-0.83	46.10%	-7.68%
589	Speed_skating	M	26	86	2.21	3.61	4.88	6.13	7.06	8.15	14.39	-0.87	41.93%	-8.21%
590	Speed_skating	M	28	88	2.09	3.40	4.59	5.81	7.85	8.74	17.14	-0.90	45.07%	-8.40%
591	Speed_skating	M	25	91	2.13	3.37	4.54	5.75	7.23	9.31	16.83	-0.78	44.36%	-7.25%
592	Speed_skating	M	19	92	2.06	3.28	4.40	5.51	7.64	9.62	18.39	-0.79	46.04%	-7.37%
593	Speed_skating	W	30	60	2.20	3.65	4.98	6.35	7.56	7.69	14.54	-0.98	42.22%	-9.30%
594	Speed_skating	W	17	63	2.24	3.62	4.93	6.21	7.02	8.07	14.18	-0.87	41.67%	-8.23%
595	Speed_skating	W	20	63	2.12	3.54	4.86	6.21	8.45	7.72	16.30	-1.09	44.12%	-10.31%
596	Speed_skating	W	19	65	2.20	3.65	5.02	6.41	7.86	7.49	14.73	-1.05	42.41%	-9.94%
597	Speed_skating	W	24	65	2.12	3.47	4.73	6.02	7.98	8.25	16.45	-0.97	44.39%	-9.08%
598	Speed_skating	W	18	68	2.20	3.56	4.84	6.12	7.22	8.24	14.87	-0.88	42.51%	-8.27%
599	Speed_skating	W	20	68	2.17	3.56	4.84	6.12	7.56	8.07	15.25	-0.94	43.04%	-8.83%
600	Speed_skating	W	18	70	2.22	3.62	4.93	6.27	7.22	7.96	14.36	-0.91	41.96%	-8.58%
601	Speed_skating	W	19	75	2.21	3.62	4.96	6.33	7.54	7.75	14.60	-0.97	42.30%	-9.22%
602	Speed_skating	W	20	75	2.19	3.59	4.89	6.25	7.48	7.95	14.86	-0.94	42.59%	-8.89%
603	Speed_skating	W	26	75	2.31	3.79	5.21	6.65	7.00	7.31	12.80	-0.96	40.06%	-9.15%
604	Speed_skating	W	24	77	2.17	3.53	4.82	6.10	7.62	8.11	15.44	-0.94	43.26%	-8.86%
605	Table_tennis	M	24	58	2.09	3.43	4.67	5.91	8.11	8.42	17.07	-0.96	45.04%	-9.00%
606	Table_tennis	M	26	58	2.07	3.33	4.50	5.64	7.78	9.20	17.90	-0.85	45.71%	-7.84%
607	Table_tennis	M	27	64	2.09	3.42	4.66	5.87	8.20	8.39	17.21	-0.98	45.19%	-9.13%
608	Table_tennis	M	16	64	2.07	3.38	4.59	5.81	8.20	8.62	17.67	-0.95	45.66%	-8.87%
609	Table_tennis	M	19	64	2.17	3.59	4.91	6.24	7.84	7.78	15.26	-1.01	43.06%	-9.51%
610	Table_tennis	M	19	66	2.11	3.39	4.62	5.82	7.86	8.69	17.07	-0.90	44.99%	-8.44%
611	Table_tennis	M	22	69	2.18	3.56	4.85	6.11	7.48	8.10	15.13	-0.92	42.89%	-8.71%
612	Table_tennis	M	18	69	2.17	3.54	4.82	6.10	7.54	8.15	15.38	-0.93	43.17%	-8.71%
613	Table_tennis	M	21	73	2.02	3.35	4.57	5.78	8.99	8.36	18.79	-1.07	46.72%	-10.01%
614	Table_tennis	M	19	74	2.12	3.48	4.78	6.02	8.29	7.99	16.56	-1.04	44.48%	-9.75%
615	Table_tennis	M	17	78	2.27	3.77	5.17	6.60	7.30	7.30	13.33	-1.00	40.74%	-9.53%
616	Table_tennis	M	27	78	2.08	3.35	4.52	5.67	7.73	9.09	17.56	-0.85	45.39%	-7.92%
617	Table_tennis	M	21	89	2.07	3.37	4.58	5.76	8.21	8.61	17.69	-0.95	45.69%	-8.91%
618	Telemark_skiing	M	23	74	2.00	3.27	4.46	5.64	9.03	8.72	19.67	-1.04	47.60%	-9.60%
619	Telemark_skiing	M	21	79	2.05	3.35	4.53	5.73	8.30	8.73	18.13	-0.95	46.14%	-8.86%
620	Telemark_skiing	M	25	80	2.04	3.33	4.48	5.64	8.15	8.98	18.28	-0.91	46.24%	-8.44%
621	Telemark_skiing	M	23	82	2.05	3.29	4.45	5.63	8.09	9.15	18.51	-0.88	46.43%	-8.22%
622	Telemark_skiing	M	29	82	2.04	3.36	4.55	5.73	8.43	8.61	18.16	-0.98	46.17%	-9.13%
623	Telemark_skiing	M	25	83	2.08	3.39	4.62	5.83	8.29	8.45	17.50	-0.98	45.51%	-9.18%
624	Telemark_skiing	M	21	85	2.06	3.39	4.61	5.85	8.47	8.41	17.81	-1.01	45.82%	-9.42%
625	Telemark_skiing	M	22	85	2.12	3.45	4.72	5.98	8.07	8.24	16.63	-0.98	44.59%	-9.20%
626	Telemark_skiing	M	19	87	2.11	3.43	4.62	5.77	7.59	8.75	16.61	-0.87	44.45%	-8.12%
627	Telemark_skiing	M	24	87	2.16	3.49	4.75	5.98	7.51	8.38	15.74	-0.90	43.55%	-8.44%
628	Telemark_skiing	M	21	88	2.05	3.32	4.50	5.65	8.22	8.89	18.27	-0.93	46.26%	-8.61%
629	Telemark_skiing	M	24	89	2.06	3.30	4.57	5.79	8.82	8.44	18.61	-1.04	46.59%	-9.74%
630	Telemark_skiing	M	24	90	2.18	3.49	4.69	5.88	6.94	8.88	15.42	-0.78	42.85%	-7.35%
631	Telemark_skiing	W	16	60	2.47	4.09	5.64	7.23	6.29	6.66	10.48	-0.94	36.77%	-9.11%
632	Telemark_skiing	W	20	61	2.28	3.78	5.22	6.68	7.44	7.17	13.34	-1.04	40.72%	-9.89%
633	Telemark_skiing	W	17	62	2.11	3.49	4.73	5.96	7.97	8.23	16.40	-0.97	44.34%	-9.08%
634	Telemark_skiing	W	19	62	2.20	3.62	4.95	6.28	7.57	7.77	14.71	-0.97	42.42%	-9.21%
635	Telemark_skiing	W	20	65	2.23	3.63	4.97	6.29	7.30	7.83	14.29	-0.93	41.90%	-8.83%
636	Tennis	M	17	68	2.04	3.31	4.52	5.73	8.63	8.69	18.74	-0.99	46.74%	-9.23%
637	Tennis	M	17	70	2.04	3.31	4.49	5.72	8.42	8.86	18.63	-0.95	46.63%	-8.82%
638	Tennis	M	20	72	2.15	3.46	4.73	5.97	7.72	8.36	16.13	-0.92	44.01%	-8.67%
639	Tennis	M	24	73	2.00	3.28	4.45	5.62	8.81	8.83	19.44	-1.00	47.41%	-9.25%
640	Tennis	M	21	75	2.12	3.47	4.72	5.99	7.96	8.28	16.47	-0.96	44.41%	-9.02%
641	Tennis	M	24	75	2.08	3.35	4.53	5.69	7.81	9.01	17.60	-0.87	45.47%	-8.07%
642	Tennis	M	25	75	2.08	3.38	4.60	5.80	8.12	8.62	17.48	-0.94	45.47%	-8.80%
643	Tennis	M	19	76	2.10	3.36	4.56	5.76	7.76	8.93	17.33	-0.87	45.20%	-8.10%
644	Tennis	M	18	78	2.05	3.35	4.55	5.74	8.39	8.65	18.13	-0.97	46.14%	-9.04%
645	Tennis	M	18	81	2.12	3.47	4.71	5.93	7.82	8.35	16.32	-0.94	44.24%	-8.79%
646	Tennis	M	25	85	2.01	3.29	4.45	5.61	8.54	8.92	19.04	-0.96	47.04%	-8.89%
647	Tennis	W	16	62	2.16	3.52	4.80	6.10	7.65	8.17	15.64	-0.94	43.48%	-8.81%
648	Tennis	W	17	62	2.28	3.74	5.14	6.54	7.15	7.44	13.31	-0.96	40.70%	-9.14%
649	Tennis	W	17	63	2.23	3.68	5.06	6.46	7.58	7.49	14.20	-1.01	41.80%	-9.61%
650	Tennis	W	20	66	2.20	3.63	5.01	6.41	7.97	7.49	14.92	-1.06	42.62%	-10.08%
651	Tennis	W	17	68	2.22	3.66	5.01	6.38	7.49	7.63	14.29	-0.98	41.93%	-9.30%
652	Tennis	W	16	68	2.30	3.80	5.17	6.60	6.82	7.46	12.73	-0.91	39.92%	-8.72%
653	Tennis	W	20	71	2.35	3.89	5.37	6.90	6.99	6.97	12.17	-1.00	39.21%	-9.61%
654	Weight/powerlifting	M	16	57	2.12	3.48	4.77	6.05	8.20	8.08	16.56	-1.02	44.49%	-9.52%
655	Weight/powerlifting	M	24	68	2.10	3.43	4.71	5.94	8.36	8.18	17.10	-1.02	45.07%	-9.58%
656	Weight/powerlifting	M	22	75	2.13	3.42	4.61	5.78	7.33	8.99	16.48	-0.82	44.14%	-7.63%
657	Weight/powerlifting	M	21	77	2.10	3.38	4.55	5.75	7.62	9.03	17.20	-0.84	45.00%	-7.86%
658	Weight/powerlifting	M	21	78	2.01	3.28	4.43	5.55	8.50	9.02	19.17	-0.94	47.15%	-8.73%
659	Weight/powerlifting	M	19	80	2.03	3.33	4.55	5.77	8.83	8.48	18.72	-1.04	46.70%	-9.69%
660	Weight/powerlifting	M	20	83	2.14	3.50	4.76	6.01	7.73	8.24	15.93	-0.94	43.81%	-8.83%
661	Weight/powerlifting	M	22	85	2.19	3.57	4.90	6.23	7.61	7.88	15.00	-0.97	42.77%	-9.13%
662	Weight/powerlifting	M	19	89	2.02	3.31	4.53	5.73	8.97	8.49	19.04	-1.06	46.99%	-9.84%
663	Weight/powerlifting	M	31	92	2.14	3.52	4.86	6.14	8.36	7.74	16.16	-1.08	44.01%	-10.20%
664	Weight/powerlifting	M	17	103	2.23	3.61	4.95	6.25	7.31	7.85	14.34	-0.93	41.97%	-8.83%
665	Weight/powerlifting	M	20	110	2.16	3.51	4.82	6.15	7.93	7.97	15.80	-1.00	43.70%	-9.41%
666	Weight/powerlifting	M	18	146	2.17	3.55	4.86	6.09	7.78	7.88	15.32	-0.99	43.16%	-9.36%
